semaine;reg;pop;P;T;Ti;Tp;Td
29/05/2020;1;376879;111;3659;29,45;3,03;970,87
29/05/2020;2;358749;68;4272;18,95;1,59;1190,8
29/05/2020;3;290691;827;7500;284,49;11,03;2580,06
29/05/2020;4;859959;267;13544;31,05;1,97;1574,96
29/05/2020;5;5997;0;55;0;0;917,13
29/05/2020;6;279471;255;2303;91,24;11,07;824,06
29/05/2020;7;9961;43;840;431,68;5,12;8432,89
29/05/2020;8;35334;43;766;121,7;5,61;2167,88
29/05/2020;11;1670149;2799;39727;167,59;7,05;2378,65
29/05/2020;11;1248354;2380;30894;190,65;7,7;2474,78
29/05/2020;11;1319401;2280;32898;172,81;6,93;2493,4
29/05/2020;11;1406041;2772;40372;197,15;6,87;2871,32
29/05/2020;11;1423607;2337;35077;164,16;6,66;2463,95
29/05/2020;11;1448625;2160;38809;149,11;5,57;2679,02
29/05/2020;11;1613762;2749;53465;170,35;5,14;3313,07
29/05/2020;11;2148271;3838;93545;178,66;4,1;4354,43
29/05/2020;24;217139;426;5515;196,19;7,72;2539,85
29/05/2020;24;296404;800;7925;269,9;10,09;2673,72
29/05/2020;24;327835;424;6932;129,33;6,12;2114,48
29/05/2020;24;429425;591;9846;137,63;6;2292,83
29/05/2020;24;605380;946;15281;156,27;6,19;2524,2
29/05/2020;24;682890;1142;17644;167,23;6,47;2583,73
29/05/2020;27;547824;1384;16362;252,64;8,46;2986,73
29/05/2020;27;539449;1762;16656;326,63;10,58;3087,59
29/05/2020;27;140145;467;4810;333,23;9,71;3432,16
29/05/2020;27;199596;524;6078;262,53;8,62;3045,15
29/05/2020;27;233194;702;7845;301,04;8,95;3364,15
29/05/2020;27;257849;904;9035;350,59;10,01;3503,99
29/05/2020;27;332096;629;10147;189,4;6,2;3055,44
29/05/2020;27;532886;1327;17279;249,02;7,68;3242,53
29/05/2020;28;600687;666;12231;110,87;5,45;2036,17
29/05/2020;28;691453;1046;20779;151,28;5,03;3005,12
29/05/2020;28;1243788;2409;36904;193,68;6,53;2967,07
29/05/2020;28;490669;762;12331;155,3;6,18;2513,1
29/05/2020;28;276903;535;9474;193,21;5,65;3421,41
29/05/2020;32;526050;955;13243;181,54;7,21;2517,44
29/05/2020;32;569769;1215;16051;213,24;7,57;2817,11
29/05/2020;32;825077;1492;19748;180,83;7,56;2393,47
29/05/2020;32;1452778;2353;36935;161,97;6,37;2542,37
29/05/2020;32;2588988;4302;76206;166,17;5,65;2943,47
29/05/2020;44;169250;553;5756;326,74;9,61;3400,89
29/05/2020;44;181641;512;5730;281,87;8,94;3154,57
29/05/2020;44;265531;739;10288;278,31;7,18;3874,5
29/05/2020;44;309907;560;8661;180,7;6,47;2794,71
29/05/2020;44;359520;820;11904;228,08;6,89;3311,08
29/05/2020;44;563823;1279;17686;226,84;7,23;3136,8
29/05/2020;44;730398;1868;25978;255,75;7,19;3556,69
29/05/2020;44;763204;1752;23199;229,56;7,55;3039,69
29/05/2020;44;1035866;2407;36307;232,37;6,63;3504,99
29/05/2020;44;1132607;2128;38490;187,89;5,53;3398,35
29/05/2020;52;305365;440;6600;144,09;6,67;2161,35
29/05/2020;52;560227;600;13536;107,1;4,43;2416,16
29/05/2020;52;683187;867;20613;126,91;4,21;3017,18
29/05/2020;52;815881;953;20213;116,81;4,71;2477,44
29/05/2020;52;1437137;1699;35502;118,22;4,79;2470,33
29/05/2020;53;596186;357;12982;59,88;2,75;2177,51
29/05/2020;53;755566;514;15081;68,03;3,41;1995,99
29/05/2020;53;906554;610;21464;67,29;2,84;2367,65
29/05/2020;53;1082073;1311;26877;121,16;4,88;2483,84
29/05/2020;75;116270;145;3231;124,71;4,49;2778,88
29/05/2020;75;240336;298;5665;123,99;5,26;2357,12
29/05/2020;75;330336;459;7585;138,95;6,05;2296,15
29/05/2020;75;348180;318;7439;91,33;4,27;2136,54
29/05/2020;75;370774;463;8263;124,87;5,6;2228,58
29/05/2020;75;372627;886;13284;237,77;6,67;3564,96
29/05/2020;75;408393;397;9249;97,21;4,29;2264,73
29/05/2020;75;411979;673;11278;163,36;5,97;2737,52
29/05/2020;75;437398;435;9030;99,45;4,82;2064,48
29/05/2020;75;647080;581;17576;89,79;3,31;2716,2
29/05/2020;75;683169;927;20214;135,69;4,59;2958,86
29/05/2020;75;1633440;2359;40658;144,42;5,8;2489,1
29/05/2020;76;226839;428;6541;188,68;6,54;2883,54
29/05/2020;76;76286;164;2003;214,98;8,19;2625,65
29/05/2020;76;152398;318;4778;208,66;6,66;3135,21
29/05/2020;76;173166;188;3629;108,57;5,18;2095,68
29/05/2020;76;190040;289;4823;152,07;5,99;2537,89
29/05/2020;76;262618;318;6106;121,09;5,21;2325,05
29/05/2020;76;278360;310;7766;111,37;3,99;2789,91
29/05/2020;76;372705;636;11661;170,64;5,45;3128,75
29/05/2020;76;387898;699;10852;180,2;6,44;2797,64
29/05/2020;76;479000;788;14387;164,51;5,48;3003,55
29/05/2020;76;748468;1386;21740;185,18;6,38;2904,6
29/05/2020;76;1176145;1970;36922;167,5;5,34;3139,24
29/05/2020;76;1400935;2194;40330;156,61;5,44;2878,79
29/05/2020;84;828405;1816;20777;219,22;8,74;2508,07
29/05/2020;84;1264979;2755;30366;217,79;9,07;2400,51
29/05/2020;84;1876051;4123;55535;219,77;7,42;2960,21
29/05/2020;84;660240;1350;18177;204,47;7,43;2753,09
29/05/2020;84;764737;1601;20375;209,35;7,86;2664,31
29/05/2020;84;656955;1398;14511;212,8;9,63;2208,83
29/05/2020;84;520560;1298;13312;249,35;9,75;2557,25
29/05/2020;84;142811;200;4477;140,05;4,47;3134,91
29/05/2020;84;226901;521;4817;229,62;10,82;2122,95
29/05/2020;84;326875;657;7742;200,99;8,49;2368,49
29/05/2020;84;331315;827;10041;249,61;8,24;3030,65
29/05/2020;84;432548;846;10999;195,59;7,69;2542,84
29/05/2020;93;141756;388;4262;273,71;9,1;3006,57
29/05/2020;93;165197;320;4917;193,71;6,51;2976,45
29/05/2020;93;560997;1438;17296;256,33;8,31;3083,08
29/05/2020;93;1073836;2882;41245;268,38;6,99;3840,9
29/05/2020;93;1079396;4668;52012;432,46;8,97;4818,62
29/05/2020;93;2034469;4974;86245;244,49;5,77;4239,19
29/05/2020;94;162421;113;6524;69,57;1,73;4016,72
13/06/2020;94;182258;137;6591;75,17;2,08;3616,3
13/06/2020;1;376879;13915;62241;3692,17;22,36;16514,85
13/06/2020;2;358749;8306;49656;2315,27;16,73;13841,43
13/06/2020;3;290691;11111;27633;3822,27;40,21;9505,97
13/06/2020;4;859959;23020;84898;2676,87;27,11;9872,33
13/06/2020;5;5997;17;110;283,48;15,45;1834,25
13/06/2020;6;279471;7343;18797;2627,46;39,06;6725,92
13/06/2020;7;9961;543;2869;5451,26;18,93;28802,33
13/06/2020;8;35334;2359;7545;6676,29;31,27;21353,37
13/06/2020;11;2148271;89108;456840;4147,89;19,51;21265,47
13/06/2020;11;1248354;57405;231402;4598,46;24,81;18536,57
13/06/2020;11;1319401;57474;232717;4356,07;24,7;17638,08
13/06/2020;11;1406041;59203;255005;4210,62;23,22;18136,38
13/06/2020;11;1423607;58722;238900;4124,87;24,58;16781,32
13/06/2020;11;1448625;52836;225446;3647,32;23,44;15562,76
13/06/2020;11;1613762;63475;312546;3933,36;20,31;19367,54
13/06/2020;11;1670149;73264;292513;4386,67;25,05;17514,19
13/06/2020;24;296404;5232;27703;1765,16;18,89;9346,37
13/06/2020;24;429425;11816;48716;2751,59;24,25;11344,47
13/06/2020;24;605380;14011;74190;2314,41;18,89;12255,11
13/06/2020;24;682890;16228;73791;2376,37;21,99;10805,69
13/06/2020;24;327835;5611;32910;1711,53;17,05;10038,59
13/06/2020;24;217139;3173;19940;1461,28;15,91;9183,06
13/06/2020;27;140145;3498;18186;2495,99;19,23;12976,56
13/06/2020;27;199596;3569;19664;1788,11;18,15;9851,9
13/06/2020;27;233194;3849;23930;1650,56;16,08;10261,84
13/06/2020;27;257849;5358;28870;2077,96;18,56;11196,48
13/06/2020;27;332096;7979;43175;2402,62;18,48;13000,76
13/06/2020;27;532886;13014;68796;2442,17;18,92;12910,08
13/06/2020;27;539449;12917;65697;2394,48;19,66;12178,54
13/06/2020;27;547824;11286;55193;2060,15;20,45;10074,95
13/06/2020;28;490669;8401;50249;1712,15;16,72;10240,92
13/06/2020;28;276903;4836;27786;1746,46;17,4;10034,56
13/06/2020;28;600687;14970;68945;2492,15;21,71;11477,69
13/06/2020;28;691453;14706;89414;2126,83;16,45;12931,32
13/06/2020;28;1243788;34761;178529;2794,77;19,47;14353,65
13/06/2020;32;526050;10418;59098;1980,42;17,63;11234,29
13/06/2020;32;569769;11192;69421;1964,3;16,12;12184,06
13/06/2020;32;825077;26445;116345;3205,16;22,73;14101,11
13/06/2020;32;1452778;26658;177862;1834,97;14,99;12242,89
13/06/2020;32;2588988;63911;386370;2468,57;16,54;14923,59
13/06/2020;44;1132607;34984;187354;3088,8;18,67;16541,84
13/06/2020;44;1035866;19727;125350;1904,4;15,74;12100,99
13/06/2020;44;763204;17394;101209;2279,08;17,19;13261,07
13/06/2020;44;730398;14510;89710;1986,59;16,17;12282,34
13/06/2020;44;563823;14605;78345;2590,35;18,64;13895,32
13/06/2020;44;169250;2794;17260;1650,81;16,19;10197,93
13/06/2020;44;181641;3010;18879;1657,11;15,94;10393,58
13/06/2020;44;265531;5610;34401;2112,75;16,31;12955,55
13/06/2020;44;309907;6367;37135;2054,49;17,15;11982,63
13/06/2020;44;359520;6357;40138;1768,19;15,84;11164,33
13/06/2020;52;305365;6560;32359;2148,25;20,27;10596,83
13/06/2020;52;560227;13733;66808;2451,33;20,56;11925,17
13/06/2020;52;683187;12693;73627;1857,91;17,24;10776,99
13/06/2020;52;815881;18469;89970;2263,69;20,53;11027,34
13/06/2020;52;1437137;36175;170388;2517,16;21,23;11856,07
13/06/2020;53;596186;10999;64827;1844,89;16,97;10873,62
13/06/2020;53;755566;16436;86952;2175,32;18,9;11508,19
13/06/2020;53;906554;16809;97186;1854,16;17,3;10720,38
13/06/2020;53;1082073;28025;141124;2589,94;19,86;13042
13/06/2020;75;116270;1938;11612;1666,81;16,69;9987,1
13/06/2020;75;240336;4413;25461;1836,18;17,33;10593,92
13/06/2020;75;330336;4948;30592;1497,87;16,17;9260,87
13/06/2020;75;348180;5128;28126;1472,8;18,23;8078,01
13/06/2020;75;370774;6462;39207;1742,84;16,48;10574,37
13/06/2020;75;372627;5875;37963;1576,64;15,48;10187,94
13/06/2020;75;408393;7291;37484;1785,29;19,45;9178,41
13/06/2020;75;411979;9548;48149;2317,59;19,83;11687,25
13/06/2020;75;437398;8840;50203;2021,04;17,61;11477,65
13/06/2020;75;647080;11682;69243;1805,34;16,87;10700,84
13/06/2020;75;683169;20160;96863;2950,95;20,81;14178,48
13/06/2020;75;1633440;42000;208629;2571,26;20,13;12772,37
13/06/2020;76;76286;1230;6237;1612,35;19,72;8175,81
13/06/2020;76;152398;2476;16624;1624,69;14,89;10908,28
13/06/2020;76;173166;2671;15861;1542,45;16,84;9159,42
13/06/2020;76;190040;3117;19301;1640,18;16,15;10156,28
13/06/2020;76;226839;5222;28640;2302,07;18,23;12625,7
13/06/2020;76;262618;4557;28687;1735,22;15,89;10923,47
13/06/2020;76;278360;5909;34247;2122,79;17,25;12303,13
13/06/2020;76;372705;8032;49941;2155,06;16,08;13399,61
13/06/2020;76;387898;7304;41271;1882,97;17,7;10639,65
13/06/2020;76;479000;11759;66004;2454,91;17,82;13779,54
13/06/2020;76;748468;15274;88560;2040,7;17,25;11832,17
13/06/2020;76;1176145;30259;164547;2572,73;18,39;13990,37
13/06/2020;76;1400935;39506;206139;2819,97;19,16;14714,39
13/06/2020;84;764737;23296;107370;3046,28;21,7;14040,12
13/06/2020;84;142811;2306;16250;1614,72;14,19;11378,67
13/06/2020;84;226901;5359;28178;2361,82;19,02;12418,63
13/06/2020;84;326875;7576;36406;2317,71;20,81;11137,59
13/06/2020;84;331315;5603;35334;1691,14;15,86;10664,78
13/06/2020;84;432548;17708;61900;4093,88;28,61;14310,55
13/06/2020;84;520560;12903;59158;2478,68;21,81;11364,3
13/06/2020;84;656955;18506;81401;2816,94;22,73;12390,65
13/06/2020;84;660240;15260;81334;2311,28;18,76;12318,85
13/06/2020;84;828405;34333;121730;4144,47;28,2;14694,5
13/06/2020;84;1264979;42970;171745;3396,89;25,02;13576,91
13/06/2020;84;1876051;67257;301377;3585,03;22,32;16064,44
13/06/2020;93;141756;4214;18169;2972,71;23,19;12817,09
13/06/2020;93;165197;3600;18863;2179,22;19,08;11418,49
13/06/2020;93;560997;12222;63726;2178,62;19,18;11359,42
13/06/2020;93;1073836;27031;144338;2517,24;18,73;13441,34
13/06/2020;93;1079396;31810;168503;2947,02;18,88;15610,86
13/06/2020;93;2034469;58439;329278;2872,44;17,75;16184,96
13/06/2020;94;162421;4192;26317;2580,95;15,93;16202,95
20/06/2020;94;182258;5185;27901;2844,87;18,58;15308,52
20/06/2020;1;372939;300;3003;80,44;9,99;805,23
20/06/2020;2;350373;229;2022;65,36;11,33;577,1
20/06/2020;3;294436;47;1008;15,96;4,66;342,35
20/06/2020;4;868846;1336;4001;153,77;33,39;460,5
20/06/2020;5;6008;9;24;149,8;37,5;399,47
20/06/2020;6;299348;7;762;2,34;0,92;254,55
20/06/2020;7;10123;0;42;0;0;414,9
20/06/2020;8;34070;12;151;35,22;7,95;443,21
20/06/2020;11;1276534;910;9989;71,29;9,11;782,51
20/06/2020;11;1315404;950;8698;72,22;10,92;661,24
20/06/2020;11;1434351;992;12481;69,16;7,95;870,15
20/06/2020;11;1443796;1122;10298;77,71;10,9;713,26
20/06/2020;11;1463709;1138;10295;77,75;11,05;703,35
20/06/2020;11;1643080;1220;15795;74,25;7,72;961,3
20/06/2020;11;1678367;847;13318;50,47;6,36;793,51
20/06/2020;11;2139907;1529;24738;71,45;6,18;1156,03
20/06/2020;24;325598;368;2578;113,02;14,27;791,77
20/06/2020;24;215031;263;1743;122,31;15,09;810,58
20/06/2020;24;296904;374;2686;125,97;13,92;904,67
20/06/2020;24;427776;429;3249;100,29;13,2;759,51
20/06/2020;24;613406;586;4009;95,53;14,62;653,56
20/06/2020;24;686200;712;5886;103,76;12,1;857,77
20/06/2020;27;137714;99;1174;71,89;8,43;852,49
20/06/2020;27;199373;266;1843;133,42;14,43;924,4
20/06/2020;27;232531;318;2565;136,76;12,4;1103,08
20/06/2020;27;257128;301;2489;117,06;12,09;968
20/06/2020;27;330074;343;3412;103,92;10,05;1033,71
20/06/2020;27;534424;603;5197;112,83;11,6;972,45
20/06/2020;27;546577;584;4822;106,85;12,11;882,22
20/06/2020;27;547572;531;5351;96,97;9,92;977,22
20/06/2020;28;273214;367;2376;134,33;15,45;869,65
20/06/2020;28;491281;642;3336;130,68;19,24;679,04
20/06/2020;28;695310;808;5713;116,21;14,14;821,65
20/06/2020;28;593885;622;3692;104,73;16,85;621,67
20/06/2020;28;1253596;1351;10023;107,77;13,48;799,54
20/06/2020;32;524403;638;4697;121,66;13,58;895,69
20/06/2020;32;566328;625;5338;110,36;11,71;942,56
20/06/2020;32;833013;664;6171;79,71;10,76;740,8
20/06/2020;32;1456555;1749;16209;120,08;10,79;1112,83
20/06/2020;32;2606873;2588;26201;99,28;9,88;1005,07
20/06/2020;44;1044398;1177;11060;112,7;10,64;1058,98
20/06/2020;44;166343;189;1523;113,62;12,41;915,58
20/06/2020;44;178156;223;2090;125,17;10,67;1173,13
20/06/2020;44;265285;387;2891;145,88;13,39;1089,77
20/06/2020;44;311083;257;2786;82,61;9,22;895,58
20/06/2020;44;358175;459;3362;128,15;13,65;938,65
20/06/2020;44;562545;535;6130;95,1;8,73;1089,69
20/06/2020;44;731006;825;7923;112,86;10,41;1083,85
20/06/2020;44;768557;721;6698;93,81;10,76;871,5
20/06/2020;44;1156546;954;11796;82,49;8,09;1019,93
20/06/2020;52;305870;274;1775;89,58;15,44;580,31
20/06/2020;52;564588;663;4845;117,43;13,68;858,15
20/06/2020;52;699296;668;4704;95,52;14,2;672,68
20/06/2020;52;825241;748;5282;90,64;14,16;640,06
20/06/2020;52;1478101;1179;8165;79,76;14,44;552,4
20/06/2020;53;601354;803;4551;133,53;17,64;756,79
20/06/2020;53;770921;1086;6642;140,87;16,35;861,57
20/06/2020;53;922797;1252;5569;135,67;22,48;603,49
20/06/2020;53;1107860;1158;7805;104,53;14,84;704,51
20/06/2020;75;422332;610;3547;144,44;17,2;839,86
20/06/2020;75;440164;586;4063;133,13;14,42;923,07
20/06/2020;75;659482;831;5659;126,01;14,68;858,1
20/06/2020;75;691770;813;5584;117,52;14,56;807,2
20/06/2020;75;1681330;1984;11182;118;17,74;665,07
20/06/2020;75;411087;481;2670;117,01;18,01;649,5
20/06/2020;75;374426;425;3103;113,51;13,7;828,74
20/06/2020;75;369805;491;2458;132,77;19,98;664,67
20/06/2020;75;350298;361;2580;103,06;13,99;736,52
20/06/2020;75;113711;144;777;126,64;18,53;683,31
20/06/2020;75;238445;321;1797;134,62;17,86;753,63
20/06/2020;75;329135;426;2489;129,43;17,12;756,22
20/06/2020;76;76573;99;596;129,29;16,61;778,34
20/06/2020;76;153126;206;1400;134,53;14,71;914,28
20/06/2020;76;174522;191;963;109,44;19,83;551,79
20/06/2020;76;192279;243;1555;126,38;15,63;808,72
20/06/2020;76;231014;297;1836;128,56;16,18;794,76
20/06/2020;76;264216;290;2236;109,76;12,97;846,28
20/06/2020;76;280254;297;2445;105,98;12,15;872,42
20/06/2020;76;379844;553;3698;145,59;14,95;973,56
20/06/2020;76;393046;521;2902;132,55;17,95;738,34
20/06/2020;76;485396;619;5488;127,52;11,28;1130,62
20/06/2020;76;753436;893;8984;118,52;9,94;1192,4
20/06/2020;76;1217787;1277;15826;104,86;8,07;1299,57
20/06/2020;76;1452055;1460;11306;100,55;12,91;778,62
20/06/2020;84;143280;192;1017;134;18,88;709,8
20/06/2020;84;227224;379;2759;166,8;13,74;1214,22
20/06/2020;84;330865;441;3009;133,29;14,66;909,43
20/06/2020;84;331757;435;3337;131,12;13,04;1005,86
20/06/2020;84;442054;451;3614;102,02;12,48;817,55
20/06/2020;84;524506;711;5200;135,56;13,67;991,41
20/06/2020;84;665391;642;5404;96,48;11,88;812,15
20/06/2020;84;672494;834;5325;124,02;15,66;791,83
20/06/2020;84;767549;906;7702;118,04;11,76;1003,45
20/06/2020;84;850125;713;6115;83,87;11,66;719,31
20/06/2020;84;1285915;1326;10822;103,12;12,25;841,58
20/06/2020;84;1912073;1868;18332;97,7;10,19;958,75
20/06/2020;93;141059;203;1356;143,91;14,97;961,3
20/06/2020;93;165582;266;1738;160,65;15,3;1049,63
20/06/2020;93;562928;640;5929;113,69;10,79;1053,24
20/06/2020;93;1095564;1456;13027;132,9;11,18;1189,07
20/06/2020;93;1103555;1326;11649;120,16;11,38;1055,59
20/06/2020;93;2062499;2466;28365;119,56;8,69;1375,27
20/06/2020;94;162314;295;2202;181,75;13,4;1356,63
25/06/2020;94;187151;353;2539;188,62;13,9;1356,66
25/06/2020;1;376879;128;3963;33,96;3,23;1051,53
25/06/2020;2;358749;60;4435;16,72;1,35;1236,24
25/06/2020;3;290691;192;5067;66,05;3,79;1743,09
25/06/2020;4;859959;540;15309;62,79;3,53;1780,2
25/06/2020;5;5997;1;24;16,68;4,17;400,2
25/06/2020;6;279471;2379;9263;851,25;25,68;3314,48
25/06/2020;7;9961;48;1493;481,88;3,22;14988,46
25/06/2020;8;35334;64;1386;181,13;4,62;3922,57
25/06/2020;11;1248354;2951;37672;236,39;7,83;3017,73
25/06/2020;11;1319401;2422;37770;183,57;6,41;2862,66
25/06/2020;11;1406041;3397;47553;241,6;7,14;3382,05
25/06/2020;11;1423607;3256;43523;228,71;7,48;3057,23
25/06/2020;11;1448625;2817;45268;194,46;6,22;3124,89
25/06/2020;11;1613762;3464;63204;214,65;5,48;3916,56
25/06/2020;11;1670149;3697;46556;221,36;7,94;2787,54
25/06/2020;11;2148271;4454;101838;207,33;4,37;4740,46
